Country,count,mean,std,min,25%,50%,75%,max
Singapore,2.0,33.5,6.363961030678928,29.0,31.25,33.5,35.75,38.0
United States,84.0,149.97619047619048,116.74500852986384,1.0,49.0,122.0,253.25,395.0
Switzerland,9.0,138.33333333333334,124.97699788361057,13.0,59.0,98.0,143.0,381.0
France,8.0,148.5,97.1361342211464,33.0,61.5,143.0,212.5,313.0
"Hong Kong, China",6.0,138.0,119.95332425572873,54.0,73.75,108.0,116.0,377.0
Netherlands,13.0,136.84615384615384,80.64618833092915,65.0,76.0,103.0,185.0,331.0
United Kingdom,44.0,177.6590909090909,117.77628441773564,3.0,89.5,162.5,252.5,398.0
Australia,25.0,183.04,99.20537619840302,28.0,90.0,198.0,255.0,356.0
Denmark,5.0,158.0,90.04165702606767,62.0,93.0,129.0,246.0,260.0
Canada,17.0,178.58823529411765,105.43781272836219,19.0,99.0,182.0,252.0,354.0
China,25.0,205.92,112.1869421991704,18.0,112.0,226.0,290.0,381.0
Sweden,8.0,183.25,82.91432755733905,96.0,113.25,161.5,244.0,322.0
Germany,25.0,194.36,87.658370963645,39.0,131.0,191.0,268.0,369.0
Belgium,8.0,194.875,106.4886814911063,59.0,138.25,175.5,246.0,362.0
South Korea,11.0,206.8181818181818,108.49775866976994,59.0,139.0,195.0,246.5,397.0
Japan,14.0,241.64285714285714,128.732045584771,23.0,155.25,258.0,364.5,399.0
Saudi Arabia,3.0,203.66666666666666,74.59445913292309,127.0,167.5,208.0,242.0,276.0
Brazil,2.0,213.0,103.23759005323593,140.0,176.5,213.0,249.5,286.0
Israel,5.0,275.2,105.60871176186176,174.0,182.0,248.0,372.0,400.0
Ireland,4.0,224.5,80.43423814935197,124.0,184.0,230.5,271.0,313.0
Norway,4.0,230.5,113.72921055442764,78.0,190.5,247.0,287.0,350.0
Spain,8.0,269.875,81.15142371781639,158.0,215.75,267.0,320.5,386.0
Italy,14.0,275.5,70.67558603604544,155.0,217.25,297.5,320.75,370.0
Finland,6.0,263.3333333333333,106.48317550987417,79.0,221.75,298.5,333.25,363.0
South Africa,3.0,266.0,70.54785609782908,194.0,231.5,269.0,302.0,335.0
Austria,4.0,269.0,100.86624807139403,138.0,240.75,277.0,305.25,384.0
India,1.0,269.0,,269.0,269.0,269.0,269.0,269.0
"Taiwan, China",5.0,275.0,93.08598175880189,120.0,276.0,284.0,343.0,352.0
Estonia,1.0,281.0,,281.0,281.0,281.0,281.0,281.0
New Zealand,8.0,312.25,97.06367571268432,126.0,288.25,345.0,376.75,396.0
"Macao, China",1.0,292.0,,292.0,292.0,292.0,292.0,292.0
Russia,6.0,308.3333333333333,109.66433634808841,96.0,303.75,349.5,369.0,391.0
Portugal,4.0,340.5,40.44337605426465,303.0,307.5,338.0,371.0,383.0
Czech Republic,1.0,308.0,,308.0,308.0,308.0,308.0,308.0
Chile,2.0,345.5,55.86143571373726,306.0,325.75,345.5,365.25,385.0
Qatar,1.0,328.0,,328.0,328.0,328.0,328.0,328.0
Malaysia,5.0,340.6,71.32531107538193,217.0,342.0,376.0,379.0,389.0
Mexico,1.0,344.0,,344.0,344.0,344.0,344.0,344.0
Lebanon,1.0,346.0,,346.0,346.0,346.0,346.0,346.0
Poland,2.0,352.0,9.899494936611665,345.0,348.5,352.0,355.5,359.0
Thailand,1.0,358.0,,358.0,358.0,358.0,358.0,358.0
Iran,2.0,372.5,21.920310216782973,357.0,364.75,372.5,380.25,388.0
Cyprus,1.0,372.0,,372.0,372.0,372.0,372.0,372.0
