Country,PCP,Alumni,Award,PUB,N&S,Hi Ci
Argentina,22.0,14.4,23.7,35.7,8.7,0.0
Australia,27.108695652173914,4.3478260869565215,2.0,44.27391304347826,13.217391304347826,19.44782608695652
Austria,24.05,4.8999999999999995,4.65,28.983333333333334,13.266666666666666,12.216666666666667
Belgium,29.785714285714285,7.942857142857143,7.5,42.17142857142857,14.042857142857143,16.428571428571427
Brazil,20.633333333333333,0.0,0.0,48.68333333333334,7.25,0.0
Canada,22.894444444444446,6.877777777777777,4.166666666666667,46.27222222222222,15.266666666666667,17.605555555555554
Chile,18.0,3.6,0.0,35.25,10.05,0.0
China,17.58103448275862,0.6344827586206896,0.2396551724137931,46.72931034482759,7.665517241379311,13.874137931034484
Czech Republic,19.9,8.8,0.0,46.9,8.9,13.5
Denmark,28.8,7.6,10.360000000000001,48.82,19.080000000000002,20.78
Egypt,18.8,19.0,0.0,35.9,2.6,0.0
Estonia,17.5,0.0,0.0,26.1,11.5,21.4
Finland,21.36,3.66,4.16,37.660000000000004,12.120000000000001,15.76
France,26.47222222222222,15.02222222222222,15.555555555555555,36.69444444444444,16.17222222222222,8.988888888888889
Germany,21.23611111111111,9.608333333333333,5.080555555555556,35.51111111111111,15.14722222222222,14.091666666666667
Greece,17.599999999999998,0.0,0.0,32.46666666666667,2.4,14.1
"Hong Kong, China",27.4,0.0,2.7800000000000002,43.38,8.959999999999999,23.380000000000003
India,20.2,0.0,0.0,41.3,0.0,0.0
"Iran, Islamic Rep. of",19.75,6.2,0.0,38.65,0.75,6.75
Ireland,17.6,3.8,3.275,30.2,8.625,15.05
Israel,23.96666666666667,12.1,13.533333333333333,36.18333333333333,18.566666666666666,10.899999999999999
Italy,21.886666666666667,4.266666666666667,3.3733333333333335,38.6,7.2733333333333325,10.413333333333332
Japan,19.84375,11.59375,9.46875,40.88125,15.8125,11.975
"Korea, Republic of",23.21,0.0,0.0,44.260000000000005,9.92,11.74
Malaysia,19.1,0.0,0.0,35.75,1.4,15.05
Mexico,26.6,12.4,0.0,52.4,11.4,0.0
Netherlands,31.40909090909091,7.845454545454545,6.263636363636365,46.82727272727273,16.70909090909091,25.4
New Zealand,21.174999999999997,6.2,0.0,33.35,8.65,12.325000000000001
Norway,23.46666666666667,13.733333333333334,17.666666666666668,45.4,15.233333333333334,14.1
Poland,18.65,12.7,0.0,35.25,8.45,4.8
Portugal,20.8,0.0,2.0,38.875,7.85,7.199999999999999
Russian Federation,21.825,25.4,8.15,37.75,6.824999999999999,0.0
Saudi Arabia,19.25,0.0,0.0,37.55,8.1,34.85
Serbia,22.3,0.0,0.0,43.4,4.3,13.5
Singapore,34.5,0.0,0.0,58.650000000000006,20.799999999999997,33.05
Slovenia,15.1,0.0,0.0,35.3,8.3,0.0
South Africa,19.5,9.15,0.0,36.675,8.175,8.175
Spain,19.94,1.9,0.0,40.17999999999999,10.61,10.64
Sweden,27.18,8.77,11.040000000000001,42.79,16.259999999999998,13.790000000000001
Switzerland,34.35,14.0,14.975,42.2875,27.6,25.4375
"Taiwan, China",18.8,5.95,0.0,46.675,10.075,11.9
Turkey,18.2,18.3,0.0,34.7,3.0,0.0
United Kingdom,26.276923076923076,11.166666666666666,12.082051282051282,41.81794871794872,18.325641025641026,20.33846153846154
United States,25.125179856115107,11.972661870503597,13.310071942446042,42.89352517985611,21.696402877697842,22.242446043165465
