Country,impact_P,collab_P,oa_P
Algeria,461.3611111111111,461.3611111111111,461.3611111111111
Argentina,1548.7499999999998,1548.7499999999998,1548.7499999999998
Australia,2381.1045751633987,2381.1045751633987,2381.1045751633987
Austria,1279.7314814814815,1279.7314814814815,1279.7314814814815
Belgium,3209.6701388888887,3209.6701388888887,3209.6701388888887
Brazil,1380.8198412698412,1380.8198412698412,1380.8198412698412
Canada,2840.78853046595,2840.78853046595,2840.78853046595
Chile,1218.1041666666667,1218.1041666666667,1218.1041666666667
China,1389.190170940171,1389.190170940171,1389.190170940171
Colombia,664.1203703703703,664.1203703703703,664.1203703703703
Croatia,1272.5,1272.5,1272.5
Cyprus,620.5833333333334,620.5833333333334,620.5833333333334
Czech Republic,1318.5238095238096,1318.5238095238096,1318.5238095238096
Denmark,3973.211111111111,3973.211111111111,3973.211111111111
Egypt,828.6694444444445,828.6694444444445,828.6694444444445
Estonia,1147.861111111111,1147.861111111111,1147.861111111111
Ethiopia,458.97222222222223,458.97222222222223,458.97222222222223
Finland,2088.3125,2088.3125,2088.3125
France,2824.4194444444443,2824.4194444444443,2824.4194444444443
Germany,2289.6383744855966,2289.6383744855966,2289.6383744855966
Ghana,412.49999999999994,412.49999999999994,412.49999999999994
Greece,1529.09375,1529.09375,1529.09375
Hungary,930.8657407407408,930.8657407407408,930.8657407407408
Iceland,934.1944444444445,934.1944444444445,934.1944444444445
India,615.1746031746031,615.1746031746031,615.1746031746031
Iran,754.9709595959596,754.9709595959596,754.9709595959596
Ireland,1459.5740740740741,1459.5740740740741,1459.5740740740741
Israel,2261.253472222222,2261.253472222222,2261.253472222222
Italy,1894.701690821256,1894.701690821256,1894.701690821256
Japan,1690.1607142857142,1690.1607142857142,1690.1607142857142
Jordan,553.8333333333335,553.8333333333335,553.8333333333335
Kuwait,579.6388888888889,579.6388888888889,579.6388888888889
Lebanon,756.9166666666665,756.9166666666665,756.9166666666665
Lithuania,514.5648148148148,514.5648148148148,514.5648148148148
Luxembourg,466.22222222222223,466.22222222222223,466.22222222222223
Malaysia,1395.5436507936508,1395.5436507936508,1395.5436507936508
Mexico,1243.2222222222224,1243.2222222222224,1243.2222222222224
Morocco,442.30555555555554,442.30555555555554,442.30555555555554
Netherlands,4155.982905982906,4155.982905982906,4155.982905982906
New Zealand,1386.6507936507937,1386.6507936507937,1386.6507936507937
Nigeria,393.41666666666663,393.41666666666663,393.41666666666663
Norway,2244.4259259259256,2244.4259259259256,2244.4259259259256
Oman,479.3611111111111,479.3611111111111,479.3611111111111
Pakistan,534.9563492063492,534.9563492063492,534.9563492063492
Poland,762.6310763888889,762.6310763888889,762.6310763888889
Portugal,2001.5034722222222,2001.5034722222222,2001.5034722222222
Qatar,594.7777777777778,594.7777777777778,594.7777777777778
Romania,580.9791666666666,580.9791666666666,580.9791666666666
Russia,937.0631313131313,937.0631313131313,937.0631313131313
Saudi Arabia,1494.3055555555557,1494.3055555555557,1494.3055555555557
Serbia,1513.351851851852,1513.351851851852,1513.351851851852
Singapore,4306.472222222222,4306.472222222222,4306.472222222222
Slovakia,867.3611111111112,867.3611111111112,867.3611111111112
Slovenia,1474.7222222222224,1474.7222222222224,1474.7222222222224
South Africa,1140.878787878788,1140.878787878788,1140.878787878788
South Korea,1600.2755102040817,1600.2755102040817,1600.2755102040817
Spain,1380.9848484848485,1380.9848484848485,1380.9848484848485
Sweden,2943.9236111111113,2943.9236111111113,2943.9236111111113
Switzerland,3745.1979166666665,3745.1979166666665,3745.1979166666665
Taiwan,1565.917929292929,1565.917929292929,1565.917929292929
Thailand,897.9652777777778,897.9652777777778,897.9652777777778
Tunisia,650.0138888888889,650.0138888888889,650.0138888888889
Turkey,780.109375,780.109375,780.109375
Uganda,652.0277777777777,652.0277777777777,652.0277777777777
United Arab Emirates,453.8703703703704,453.8703703703704,453.8703703703704
United Kingdom,2358.264957264957,2358.264957264957,2358.264957264957
United States,2924.8978272827285,2924.8978272827285,2924.8978272827285
Uruguay,711.8888888888889,711.8888888888889,711.8888888888889
Viet Nam,337.6666666666667,337.6666666666667,337.6666666666667
