Country,ARTU Rank
Australia,183.04
Austria,269.0
Belgium,194.875
Brazil,213.0
Canada,178.58823529411765
Chile,345.5
China,205.92
Cyprus,372.0
Czech Republic,308.0
Denmark,158.0
Estonia,281.0
Finland,263.3333333333333
France,148.5
Germany,194.36
"Hong Kong, China",138.0
India,269.0
Iran,372.5
Ireland,224.5
Israel,275.2
Italy,275.5
Japan,241.64285714285714
Lebanon,346.0
"Macao, China",292.0
Malaysia,340.6
Mexico,344.0
Netherlands,136.84615384615384
New Zealand,312.25
Norway,230.5
Poland,352.0
Portugal,340.5
Qatar,328.0
Russia,308.3333333333333
Saudi Arabia,203.66666666666666
Singapore,33.5
South Africa,266.0
South Korea,206.8181818181818
Spain,269.875
Sweden,183.25
Switzerland,138.33333333333334
"Taiwan, China",275.0
Thailand,358.0
United Kingdom,177.6590909090909
United States,149.97619047619048
