country,ar score,er score,fsr score,cpf score,ifr score,isr score,score scaled
Argentina,28.32,41.7,88.62,1.3599999999999999,14.279999999999998,43.059999999999995,36.519999999999996
Australia,42.87692307692308,44.79230769230769,16.876923076923077,68.65,96.4076923076923,81.07692307692308,47.81923076923077
Austria,29.7,25.419999999999998,55.720000000000006,33.120000000000005,82.84,71.32000000000001,40.06
Belarus,21.5,40.2,98.0,1.4,1.4,43.0,34.9
Belgium,36.7625,27.65,43.45,50.025,73.4125,46.4,42.3375
Brazil,51.1,31.619999999999997,34.480000000000004,23.919999999999998,2.38,2.8,35.68
Brunei,16.3,10.8,95.1,7.5,99.85,37.3,35.15
Canada,42.5,50.53529411764706,32.141176470588235,56.794117647058826,82.39411764705882,69.13529411764705,47.629411764705885
Chile,67.96666666666667,84.33333333333333,14.466666666666667,11.366666666666667,3.8666666666666667,3.733333333333333,41.333333333333336
China (Mainland),37.45,29.47307692307692,43.65384615384615,75.77692307692308,20.946153846153848,14.850000000000001,43.78846153846154
Colombia,53.4,91.0,15.633333333333335,4.133333333333334,5.1000000000000005,1.6333333333333335,34.9
Cyprus,9.0,4.2,5.5,81.2,72.7,24.3,26.3
Czech Republic,24.03333333333333,26.96666666666667,70.06666666666666,10.299999999999999,8.6,52.03333333333333,31.53333333333333
Denmark,40.2,34.160000000000004,62.879999999999995,51.1,83.66,35.160000000000004,48.44
Egypt,26.8,20.9,37.8,4.2,92.0,3.7,26.1
Estonia,26.0,13.5,88.3,15.2,17.5,24.9,34.7
Finland,29.45714285714286,27.971428571428568,48.5,55.142857142857146,37.68571428571429,11.714285714285714,37.94285714285714
France,46.9,45.654545454545456,59.68181818181818,49.77272727272727,32.4,59.06363636363637,49.98181818181818
Germany,42.86538461538461,38.323076923076925,38.676923076923075,48.96153846153846,30.434615384615384,38.98076923076923,42.15384615384615
Greece,19.2,40.5,6.1,69.1,1.0,7.1,27.3
Hong Kong SAR,69.31666666666666,46.699999999999996,71.0,73.88333333333334,99.36666666666667,93.45,71.33333333333333
India,31.6875,41.449999999999996,25.224999999999998,79.8625,1.2875,1.6125,38.1375
Indonesia,40.125,47.375,51.575,1.8,29.15,2.85,33.225
"Iran, Islamic Republic of",8.75,21.55,7.300000000000001,98.69999999999999,4.6,2.5,27.3
Ireland,38.08,37.480000000000004,39.5,29.880000000000003,91.16,60.32000000000001,40.62
Israel,23.6,21.759999999999998,27.7,65.0,45.04,9.0,32.980000000000004
Italy,42.97692307692308,25.93846153846154,13.546153846153846,49.56923076923077,6.1692307692307695,15.815384615384614,33.64615384615385
Japan,51.38125,54.39375,80.86875,30.76875,5.35625,19.2875,49.76875
Kazakhstan,25.366666666666664,34.93333333333333,95.53333333333335,1.2,13.6,17.466666666666665,34.699999999999996
Lebanon,27.7,54.2,62.0,16.9,78.6,56.7,39.2
Lithuania,20.7,21.2,80.3,3.8,3.6,9.3,28.0
Macau SAR,10.7,6.8,18.7,70.8,100.0,97.1,32.9
Malaysia,42.7,59.7875,63.4875,22.475,33.8875,60.1625,45.15
Mexico,69.8,91.80000000000001,65.7,2.75,38.25,6.2,53.25
Netherlands,44.56923076923077,41.84615384615385,40.53846153846154,73.13076923076923,76.55384615384615,60.400000000000006,51.815384615384616
New Zealand,37.3375,30.2375,20.575,37.15,99.55,77.5375,38.525
Norway,33.925,13.825,66.475,35.55,74.4,14.25,39.95
Oman,14.8,13.7,76.9,12.1,100.0,3.9,30.4
Pakistan,16.6,43.7,40.099999999999994,53.699999999999996,1.3,3.3,30.15
Peru,39.9,66.1,25.6,1.7,1.6,1.7,28.3
Philippines,33.9,42.1,48.3,1.9,1.1,1.4,28.1
Poland,42.05,49.849999999999994,50.2,6.15,2.2,10.85,33.849999999999994
Portugal,33.65,21.975,17.45,39.825,4.2,42.775,29.6
Qatar,21.6,24.4,70.3,28.1,100.0,94.6,40.7
Russia,21.96470588235294,20.805882352941175,91.98235294117647,6.2176470588235295,7.917647058823529,64.55882352941177,34.27058823529412
Saudi Arabia,29.224999999999998,28.7,69.025,35.925,98.95,27.475,42.05
Singapore,95.35,91.05,88.15,93.05,100.0,69.94999999999999,92.35
South Africa,27.0,29.5,19.15,39.05,56.949999999999996,26.7,29.675
South Korea,38.64375,46.199999999999996,78.8,42.53125,8.35625,24.58125,46.19375
Spain,40.425000000000004,39.574999999999996,36.94166666666667,26.86666666666667,16.900000000000002,33.858333333333334,35.583333333333336
Sweden,43.175,37.425,54.95,55.45,75.2375,53.4625,49.75
Switzerland,43.93333333333333,43.05555555555556,64.63333333333333,74.97777777777777,99.97777777777777,80.46666666666667,59.08888888888888
Taiwan,33.160000000000004,40.0,51.760000000000005,33.9,7.409999999999999,22.7,36.06
Thailand,54.85,56.7,53.650000000000006,5.9,2.45,4.2,40.0
United Arab Emirates,19.266666666666666,21.8,62.4,30.0,100.0,66.60000000000001,36.833333333333336
United Kingdom,45.21224489795919,50.3530612244898,42.932653061224485,54.8,92.15918367346939,88.40408163265306,51.91428571428572
United States,49.18588235294118,43.287058823529414,52.709411764705884,61.15529411764706,35.781176470588235,42.76705882352941,50.921176470588236
Uruguay,13.0,19.1,85.2,1.15,10.25,2.9,25.15
