Global University Employability Rank 2020,Country
1,US
2,US
3,US
4,UK
5,UK
6,Japan
7,US
8,Canada
9,Singapore
10,US
11,US
12,Germany
13,Switzerland
14,US
15,Australia
16,US
17,China
18,UK
19,US
20,Switzerland
21,UK
22,France
23,Canada
24,France
25,Spain
26,Hong Kong
27,India
28,Canada
29,Singapore
30,France
31,Japan
32,China
33,US
34,France
35,Australia
36,France
37,UK
38,Australia
39,Germany
40,France
41,Canada
42,US
43,Germany
44,Germany
45,Spain
46,Japan
47,US
48,Hong Kong
49,Finland
50,China
51,Netherlands
51,US
53,UK
54,Belgium
55,Netherlands
57,Italy
58,Sweden
59,France
60,US
61,China
62,US
63,France
64,US
65,US
66,Sweden
67,US
68,South Korea
69,Germany
70,South Korea
71,India
72,US
73,Israel
74,Switzerland
75,US
76,Israel
77,Canada
78,Germany
79,Netherlands
80,France
81,New Zealand
82,Taiwan
83,South Korea
84,South Korea
85,Australia
86,Hong Kong
87,Taiwan
88,Australia
89,UK
90,Switzerland
91,Mexico
92,South Korea
93,Germany
94,US
95,Austria
96,Sweden
97,Netherlands
98,Australia
99,China
100,Germany
101,US
102,Norway
103,UK
104,Italy
105,Switzerland
106,Switzerland
107,Denmark
108,South Korea
109,Brazil
110,Belgium
111,Germany
112,France
113,UK
114,South Korea
115,France
116,Sweden
117,US
118,Germany
119,Germany
120,Germany
121,Israel
122,Netherlands
123,Netherlands
124,US
125,Ireland
126,Japan
128,India
129,Hong Kong
130,Mexico
131,Canada
132,Russia
133,Spain
134,US
135,US
136,Japan
137,China
139,Russia
140,Argentina
141,Denmark
142,France
143,China
144,Austria
145,US
146,Qatar
147,China
148,US
149,Spain
150,France
151,US
152,Lebanon
153,Japan
154,UK
155,Belgium
156,China
157,Spain
158,Finland
159,UAE
160,Chile
161,Japan
162,Iceland
163,US
164,Russia
166,Australia
167,US
168,US
169,Italy
170,UK
171,Switzerland
172,US
173,United Arab Emirates
174,Germany
175,Australia
176,Canada
177,France
178,France
179,US
180,US
181,Germany
182,Norway
183,Netherlands
184,India
185,UK
186,Canada
187,Spain
188,Norway
189,US
189,China
191,Malaysia
192,Denmark
193,US
194,US
195,India
196,Italy
197,Saudi Arabia
199,Saudi Arabia
200,Canada
201,Sweden
202,US
203,Italy
205,US
206,US
207,Turkey
208,US
209,UK
210,Sweden
211,Australia
212,US
213,US
214,US
216,Germany
217,Denmark
218,Sweden
219,US
220,US
221,China
222,South Africa
223,New Zealand
224,South Korea
225,Taiwan
226,Malaysia
228,Turkey
229,Netherlands
230,Morocco
231,US
232,Czech Republic
233,Netherlands
234,Germany
235,US
236,India
237,Netherlands
238,US
240,France
241,Mexico
241,US
243,Israel
244,France
246,Spain
247,Macau
248,Finland
249,Thailand
250,Chile
